Entity,Year,Auunal Emission
Albania,2013.0,5287465.0
Algeria,2018.0,1.7127602E8
Anguilla,2015.0,139232.0
Armenia,2017.0,5540153.0
Asia (excl. China and India),1990.0,3.5457242E9
Barbados,2008.0,2081465.0
Bonaire Sint Eustatius and Saba,1982.0,125768.01
Bonaire Sint Eustatius and Saba,1992.0,42507.0
Bonaire Sint Eustatius and Saba,2006.0,71210.0
Brazil,2007.0,3.90573E8
Cameroon,1960.0,271136.0
Chile,1968.0,2.1202238E7
Comoros,2012.0,153888.0
Congo,1986.0,1062373.0
Cyprus,1990.0,4644861.0
Djibouti,1989.0,388384.0
Dominica,1975.0,29312.0
Ecuador,1998.0,2.309047E7
Egypt,1971.0,2.3012404E7
Egypt,2008.0,1.9772773E8
Europe,1959.0,3.7132884E9
Europe,2012.0,5.999425E9
Europe (excl. EU-28),1959.0,1.226186E9
Greece,1970.0,2.4126176E7
Guatemala,1982.0,3606792.0
Honduras,1959.0,586210.0
Hungary,1958.0,3.9243508E7
Hungary,2017.0,4.958033E7
Iceland,1981.0,1748000.0
India,1972.0,2.0303598E8
Indonesia,1964.0,2.2374266E7
Iraq,1995.0,7.969513E7
Japan,2010.0,1.2147075E9
Europe (GCP),1951.0,2.63027E9
Afghanistan,1970.0,1670397.0
Albania,1981.0,7339622.0
Andorra,1963.0,0.0
Argentina,2017.0,1.8689888E8
Armenia,1975.0,6624855.0
Aruba,1979.0,568871.0
Asia (excl. China and India),1980.0,2.6091727E9
Asia (excl. China and India),2005.0,5.4600095E9
Australia,1953.0,6.3035868E7
Azerbaijan,1992.0,5.61744E7
Azerbaijan,2013.0,3.3555224E7
Barbados,1975.0,567920.0
Bermuda,2008.0,648528.0
British Virgin Islands,1993.0,84272.0
Burkina Faso,2021.0,5878726.0
Central America (GCP),1999.0,1.1894809E8
Colombia,2017.0,9.227501E7
Congo,1991.0,1082796.0
Czechia,1982.0,1.8084605E8
Dominican Republic,1975.0,6332680.0
Egypt,1993.0,9.2277976E7
Europe,1965.0,4.981611E9
Europe,1991.0,7.738463E9
Europe (GCP),1997.0,6.2677335E9
European Union (27),2007.0,3.7082447E9
Faroe Islands,1954.0,76944.0
French Polynesia,2012.0,875696.0
Greece,2021.0,5.755633E7
Greenland,1956.0,142896.0
Guinea,1974.0,839056.0
Guyana,1958.0,458000.0
Haiti,2020.0,2512561.0
Hong Kong,1983.0,2.0912106E7
Hungary,2019.0,4.9310484E7
Hungary,2022.0,4.4353616E7
India,1969.0,1.7741336E8
Indonesia,1992.0,1.9941867E8
Indonesia,2007.0,3.8785805E8
International aviation,1988.0,2.2595963E8
International shipping,1966.0,3.1271552E8
Iraq,2005.0,1.14019704E8
Israel,1987.0,2.7068916E7
Israel,1988.0,2.9702602E7
Kiribati,1978.0,21984.0
Kiribati,1995.0,29312.0
Afghanistan,1964.0,838551.0
Africa (GCP),2006.0,1.0921549E9
Armenia,2014.0,5604113.0
Australia,1977.0,1.8191466E8
Azerbaijan,1990.0,5.1151204E7
Bahrain,1992.0,1.0492517E7
Bhutan,1988.0,167395.0
Bonaire Sint Eustatius and Saba,1959.0,145113.0
British Virgin Islands,2011.0,212512.0
Burkina Faso,1968.0,102592.0
Burkina Faso,1979.0,406704.0
Colombia,1997.0,6.5256204E7
Congo,1960.0,223504.0
Croatia,1991.0,1.6985248E7
Cuba,1987.0,3.393326E7
Democratic Republic of Congo,2002.0,1734284.0
Djibouti,1984.0,351744.0
Dominica,1998.0,76944.0
Dominica,2010.0,172208.0
East Timor,2013.0,618736.0
Egypt,1957.0,1.1916743E7
Egypt,1959.0,1.2706859E7
El Salvador,1957.0,596875.0
Equatorial Guinea,2014.0,7672193.0
Europe,1966.0,5.1531377E9
Europe,1989.0,7.8288343E9
Europe (excl. EU-27),1985.0,3.9686277E9
Europe (excl. EU-28),1975.0,2.6631306E9
European Union (27),2016.0,3.0979963E9
European Union (28),1959.0,2.4871025E9
France,1980.0,5.110467E8
Gambia,1999.0,274800.0
Germany,1992.0,9.694742E8
